account_id,account_name,month,spend
000000000002,38.8825096299,2024-06-01,38.5081738526
000000000002,38.8825096299,2024-07-01,44.5616991419
000000000002,38.8825096299,2024-08-01,45.858847308
000000000002,38.8825096299,2024-09-01,41.6565212067
000000000002,38.8825096299,2024-10-01,24.3554502881
000000000002,38.8825096299,2024-11-01,3.1843931413
000000000097,177.0787409121,2024-06-01,177.3280237778
000000000097,177.0787409121,2024-07-01,181.8346914614
000000000097,177.0787409121,2024-08-01,181.7130304067
000000000097,177.0787409121,2024-09-01,177.3503161094
000000000097,177.0787409121,2024-10-01,182.4831696001
000000000097,177.0787409121,2024-11-01,177.2978033064
000000000097,177.0787409121,2024-12-01,182.7807398732
000000000097,177.0787409121,2025-01-01,182.7697277779
000000000097,177.0787409121,2025-02-01,234.6995657435
000000000097,177.0787409121,2025-03-01,389.2187680374
000000000097,177.0787409121,2025-04-01,279.701400587
000000000097,177.0787409121,2025-05-01,39.5786723184
290310562512,2339.6387817426,2024-06-01,2924.5529807294
290310562512,2339.6387817426,2024-07-01,2628.524259675
290310562512,2339.6387817426,2024-08-01,356.3558204531
532041146482,2.0184645702,2024-06-01,2.0048072565
532041146482,2.0184645702,2024-07-01,3.3960440187
532041146482,2.0184645702,2024-08-01,2.1668887652
576218818919,60.0683276247,2024-06-01,59.5345578979
576218818919,60.0683276247,2024-07-01,60.8175138696
576218818919,60.0683276247,2024-08-01,10.3647442601
663804405009,15194.2719188293,2024-06-01,17347.1114239165
663804405009,15194.2719188293,2024-07-01,20885.8806281747
663804405009,15194.2719188293,2024-08-01,22231.0585849787
678670235450,45.309367038,2024-06-01,45.6121242668
678670235450,45.309367038,2024-07-01,47.0584597988
678670235450,45.309367038,2024-08-01,8.0894355658
769263341944,463.3120567679,2024-06-01,312.4962588123
769263341944,463.3120567679,2024-07-01,224.5500881097
769263341944,463.3120567679,2024-08-01,2.2602131337
769263341944,463.3120567679,2024-09-01,0.8776681795
907058949943,10.4360170293,2024-06-01,3.8166620599
907058949943,10.4360170293,2024-07-01,9.0284404937
907058949943,10.4360170293,2024-08-01,7.0722732346
975049937880,123.1294741653,2024-06-01,1190.2508443956
975049937880,123.1294741653,2024-07-01,178.8959883362
975049937880,123.1294741653,2024-08-01,37.6852234788
AWS DNS ($),46.7334722199,2024-06-01,69.6773195423
AWS DNS ($),46.7334722199,2024-07-01,86.6016088572
AWS DNS ($),46.7334722199,2024-08-01,56.8965305887
AWS DNS ($),46.7334722199,2024-09-01,56.0381087951
AWS DNS ($),46.7334722199,2024-10-01,66.2568229016
AWS DNS ($),46.7334722199,2024-11-01,44.7995857339
AWS DNS ($),46.7334722199,2024-12-01,59.9707664198
AWS DNS ($),46.7334722199,2025-01-01,115.5149851289
AWS DNS ($),46.7334722199,2025-02-01,57.3584625502
AWS DNS ($),46.7334722199,2025-03-01,84.9046228842
AWS DNS ($),46.7334722199,2025-04-01,52.1333775985
AWS DNS ($),46.7334722199,2025-05-01,12.1731426585
AWS DaaS ($),57472.1333262001,2024-06-01,55444.3330900436
AWS DaaS ($),57472.1333262001,2024-07-01,58964.8912612562
AWS DaaS ($),57472.1333262001,2024-08-01,60363.8914043226
AWS DaaS ($),57472.1333262001,2024-09-01,60949.1148203406
AWS DaaS ($),57472.1333262001,2024-10-01,61607.4444185449
AWS DaaS ($),57472.1333262001,2024-11-01,62050.5608404734
AWS DaaS ($),57472.1333262001,2024-12-01,64058.5256909405
AWS DaaS ($),57472.1333262001,2025-01-01,67420.8388127094
AWS DaaS ($),57472.1333262001,2025-02-01,66906.3301026591
AWS DaaS ($),57472.1333262001,2025-03-01,69746.9211515626
AWS DaaS ($),57472.1333262001,2025-04-01,66676.2788526882
AWS DaaS ($),57472.1333262001,2025-05-01,11013.9975845813
AWS InfoSec ($),12575.1657357177,2024-06-01,13121.0143028676
AWS InfoSec ($),12575.1657357177,2024-07-01,13669.1175111381
AWS InfoSec ($),12575.1657357177,2024-08-01,13924.236155956
AWS InfoSec ($),12575.1657357177,2024-09-01,13569.9996896517
AWS InfoSec ($),12575.1657357177,2024-10-01,14426.7694835478
AWS InfoSec ($),12575.1657357177,2024-11-01,14086.8378915462
AWS InfoSec ($),12575.1657357177,2024-12-01,15283.0837302877
