Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),22382.0145212812,23591.4834253567,27395.6175518382,26030.3363643041,25011.1238917829,22370.8147185338,23313.3194217952,21799.5397497996,22372.7530671941,22427.9811286995,20896.4474316604,23788.7344093899
EC2-Other($),14267.1160958694,14002.8966528117,19523.2019439005,15376.5103245499,12906.7007891715,10668.927819399,10943.7513984998,9490.7405929531,9549.6653970893,9950.8929527633,9683.2140391379,10523.4150880433
Elastic Load Balancing($),2005.0693601273,1884.1317901881,2025.8663497648,2023.1118661707,1855.6419577284,1463.5568118798,1572.7851782724,1384.8510469859,1496.0373681405,1561.8961215235,1482.3999460255,1653.7940183842
Relational Database Service($),576.1727925082,593.2923966096,699.173059413,718.3016196941,706.2260416286,686.2835783409,707.171358281,686.8526618817,707.52677386,707.973083173,649.799191487,711.7232775135
VPC($),601.3807227731,672.6134461178,650.1855538078,672.034530329,672.1811286337,650.2007860283,679.7403733938,653.6783479343,671.8683664634,673.0211562823,616.8110271955,677.7177141444
ElastiCache($),1634.727,1668.557,1782.3,1834.91,628.955,149.56,30.69,30.093,31.248,31.248,28.224,31.248
S3($),878.8566941108,562.2093648886,484.090388414,343.1565590234,271.3731964573,246.41922789,258.7967119366,237.6654917548,238.9422596313,232.3626509099,229.5506888045,243.5902239093
Elastic Container Service for Kubernetes($),288.0,297.6,288.0,297.6,297.6,288.0,297.6,288.0,297.6,297.6,268.8,297.6
CloudWatch($),176.9379531522,168.6914210167,170.492958347,193.9259758668,190.8566705225,132.5190644072,130.6107303935,125.0661961972,122.7362742679,122.5740274477,115.0766592539,121.6320761241
Glue($),75.7028565801,80.4899399974,78.50805734,81.4852581909,81.7079614309,79.0267291662,83.6518126554,84.8026922661,86.8210952865,87.9822982065,78.5692919982,88.3335502813
Elastic MapReduce($),,75.0593013234,176.347306863,203.445125814,185.046544249,9.6001049886,,,,,,
DynamoDB($),26.7465703496,27.9871067511,27.3859312432,28.2987947493,28.2987947721,27.3859313509,28.2987948032,27.38593152,28.2987948191,28.2987948033,25.5602030985,28.2388557918
Key Management Service($),33.5144322654,26.350729584,26.2615670966,26.291842584,26.308132584,26.321297208,26.288102348,26.309144208,26.369851584,26.367532584,26.338936872,26.707491986
EC2 Container Registry (ECR)($),14.4953334308,15.0724395158,15.8779185866,19.9070977969,27.0798611864,25.6834782085,24.6433896774,23.5304953355,23.6941312497,23.7392813382,23.9339917064,24.4309248371
Athena($),25.059585,34.104875,15.32321,3.918435,1.94841,0.00085,9.94447,0.79519,0.45438,,,
Secrets Manager($),7.6370183652,7.628819812,7.6215233652,7.6507998658,7.6296048658,7.5961083652,7.6098047582,7.6088983652,7.594214812,7.6099499196,7.604905946,7.5926349196
Route 53($),6.0049494,4.8362258,4.451348,5.2274006,5.0287796,4.7606204,4.8081118,4.17084,5.4020022,8.3522536,5.0360622,5.9217716
Cost Explorer($),2.56,2.6,2.65,3.12,2.35,2.68,2.79,2.78,3.64,3.7,3.34,4.61
Service Catalog($),0.0518,0.0385,0.0826,0.4032,0.4823,0.2541,0.7441,0.1071,0.1239,0.1197,0.105,0.1715
Elastic File System($),,,,,0.201654579,0.3343404978,0.0694589167,0.0602404775,0.0646441994,0.0589990375,0.0619826424,0.082378817
Lambda($),0.0428291442,0.0753063429,0.066472184,0.0460357352,0.0416812606,0.0351000454,0.0360217528,0.0334327245,0.0337644693,0.0349390482,0.0332899294,0.0288381609
SNS($),0.012484454,0.0136721405,0.0099155156,0.0162317022,0.0138778042,0.0064957752,0.0138091188,0.0087001781,0.0078238432,0.0067660351,0.0055446855,0.0036590399
SQS($),0.0002816,0.000296,0.000222,0.0003268,0.0002456,0.0001164,0.000264,0.0001724,0.000152,0.000128,0.0001052,0.0667216709
CloudWatch Events($),0.009262,0.008466,0.006712,0.00182,0.000912,0.00225,0.001529,0.000845,0.001028,0.002339,0.002819,0.004987
Identity and Access Management Access Analyzer($),,,,,0.002,,,,,,,
Simple Workflow Service($),4.95089e-05,5.18224e-05,4.58073e-05,5.38168e-05,5.2437e-05,4.52865e-05,5.22738e-05,4.86234e-05,5.05302e-05,4.91001e-05,4.38564e-05,3.67059e-05
Step Functions($),2.62685e-05,2.7496e-05,2.455e-05,4.02272e-05,5.55977e-05,5.01743e-05,5.57099e-05,5.1756e-05,5.3756e-05,5.02538e-05,4.50131e-05,3.65014e-05
CloudShell($),,,,1.91e-08,,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CodeArtifact($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Total costs($),43002.1126181889,43715.7412545747,53373.5206600368,47869.6997028394,42906.7995438916,36839.9696243456,38123.3649493865,34874.0808703609,35670.8833933959,36191.8222017255,34140.9152057126,38235.6481948205
