Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),26152.0112510117,27230.3298689665,23138.3010947112,24112.6442375875,25381.6535951213,25900.2147222673,23758.6352691181,26487.4500742301,37485.5978835551,41789.7285444221,37934.5597338952,42353.7669942846
EC2-Other($),13089.0630947801,13637.2584926484,13529.5875656329,13636.9118707565,13800.2201498387,14622.2896293125,14603.5328241963,15082.8772691554,14817.5415043695,15240.792296019,18752.628194529,17664.1990806977
S3($),4832.0718585057,4880.894461558,5351.8788938378,5441.1839451412,4842.1471853939,4131.3282696945,3974.3708879227,3904.4497332399,3190.1071823194,2839.0188713707,3052.0280012281,3028.2862204004
SUSE Linux Enterprise Server for SAP Applications 15 SP1($),2448.739,2531.121,2448.0,2529.09,2529.6,2601.935,2531.3,2449.701,2534.064,2535.512,2284.728,2535.603
VPC($),672.5259655607,666.7252499766,645.0959361463,666.5299726836,667.4727776967,655.5066120846,668.5015532336,647.0672946447,673.7191698779,685.8668564213,615.0154894335,681.4516389936
SUSE Linux Enterprise Server for SAP Applications 15 SP5($),367.2,379.44,367.2,379.44,392.19,367.2,379.44,367.2,379.44,380.46,342.72,379.44
Direct Connect($),372.0631979712,786.0482237999,437.6283421943,422.57698429,482.9648625067,252.2025899792,223.2000067674,216.0,223.2000026266,223.2,201.6,223.2
Elastic File System($),95.4813960519,103.2334546529,97.1038618743,112.2862567996,119.8953820245,127.3732194982,201.322857213,257.1964629142,296.5875268881,407.7681120386,582.0015344767,687.5950246537
CloudWatch($),292.2976716147,296.170678608,102.8538243282,14.0916870795,15.2446285617,13.5517255454,13.3575997353,13.978239454,13.5586646157,13.9122716343,12.7996336894,14.5778993348
Elastic Load Balancing($),17.2344549548,17.8072957983,17.2351926781,17.8056674234,17.8064995427,17.2351996765,17.8114134762,17.2344558465,17.8838557029,30.8179593268,32.1550272387,38.8055889809
Backup($),3.9585217698,3.8323097551,4.1931382257,3.8326884079,4.0595530614,3.1096043552,2.6368724872,3.091716263,3.0240028496,2.872526588,2.9958255304,3.2135020822
Cost Explorer($),1.07,0.83,0.95,0.53,0.37,1.3,1.52,1.19,1.86,1.85,1.87,2.01
Secrets Manager($),0.8082427698,0.8072491808,0.8036005476,0.8058683744,0.8260066536,0.8009116587,0.8025233744,0.8028466587,0.8031444496,0.8035347184,0.8025545302,0.8018749872
Service Catalog($),0.0532,0.0385,0.0903,0.4123,0.5054,0.2667,0.7455,0.1302,0.1456,0.1316,0.1141,0.1904
Key Management Service($),0.235911,0.231729,0.197808,0.205014,0.216678,0.226311,0.215484,0.225201,0.282156,0.254658,0.230778,0.260073
Lambda($),0.0140177758,0.015020077,0.0146078606,0.0145954649,0.0133808638,0.0151345236,0.0162373145,0.0161489519,0.0169419535,0.017225064,0.0159741411,0.01675278
Glue($),0.004647,0.004851,0.005018,0.007585,0.006423,0.004886,0.006647,0.005316,0.005402,0.004125,0.004285,0.002648
SNS($),0.0037125,0.0037425598,0.0024805,0.0050023679,0.0045449327,0.002134161,0.004468025,0.0027802347,0.0025507347,0.002246,0.0017125,0.000921
SQS($),0.0024728,0.0025896,0.001954,0.0029368,0.0021672704,0.0010536,0.0023968,0.001518,0.0013293175,0.001123247,0.000938,0.0004732
SES($),,,,,,0.000100095,0.0012002304,0.0004000975,0.0008001934,0.0020004964,,0.0041012797
Simple Workflow Service($),4.90462e-05,5.22851e-05,4.48819e-05,5.33285e-05,5.29137e-05,4.71933e-05,5.22738e-05,4.95768e-05,5.10069e-05,4.91001e-05,4.38564e-05,3.8136e-05
Step Functions($),2.62685e-05,2.77415e-05,2.43045e-05,4.04608e-05,5.63921e-05,4.96204e-05,5.5961e-05,5.15065e-05,5.37555e-05,5.1007e-05,4.45e-05,3.74957e-05
DynamoDB($),,,,,3.58834e-05,,,,,,,
CloudShell($),,,,,,,,,,3.99e-08,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
Total costs($),48344.8386913809,50534.7947972079,46141.1436877234,47338.3767059657,48255.1993796573,48694.5639002654,46377.4238491289,49448.6207577739,59637.8418222159,64153.0160504936,63816.2718705487,67613.4262693065
