"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","Service Catalog($)","Cost Explorer($)","Secrets Manager($)","Route 53($)","Key Management Service($)","S3($)","SQS($)","SNS($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudTrail($)","Glue($)","CloudWatch($)","CloudFormation($)","Total costs($)"
"2024-05-01","","","","","","","","","","","","","","","","","","","","0"
"2024-05-02","","","","","","","","","","","","","","","","","","","","0"
"2024-05-03","","","","","","","","","","","","","","","","","","","","0"
"2024-05-04","","","","","","","","","","","","","","","","","","","","0"
"2024-05-05","","","","","","","","","","","","","","","","","","","","0"
"2024-05-06","","","","","","","","","","","","","","","","","","","","0"
"2024-05-07","","","","","","","","","","","","","","","","","","","","0"
"2024-05-08","","","","","","","","","","","","","","","","","","","","0"
"2024-05-09","","","","","","","","","","","","","","","","","","","","0"
"2024-05-10","","","","","","","","","","","","","","","","","","","","0"
"2024-05-11","","","","","","","","","","","","","","","","","","","","0"
"2024-05-12","","","","","","","","","","","","","","","","","","","","0"
"2024-05-13","","","","","","","","","","","","","","","","","","","","0"
"2024-05-14","","","","","","","","","","","","","","","","","","","","0"
"2024-05-15","","","","","","","","","","","","","","","","","","","","0"
"2024-05-16","","","","","","","","","","","","","","","","","","","","0"
"2024-05-17","","","","","0","0.01","0.001105","","0.001248","0.0000262471","0.0000672","0","0.000000209","0.0000003654","0.0000016942","0","0","","","0.0124487157"
"2024-05-18","","","","","0","0.01","0.002125","","0.001968","0.0000216488","0.0001104","0","0.000000299","0.0000006264","0.0000027953","0","0","","","0.0142287695"
"2024-05-19","","","","","0","0.02","0.0017","","0.001968","0.000021649","0.0001056","0","0.00000033","0.000000522","0.0000028397","0","0","","","0.0237989407"
"2024-05-20","3.4860099964","0.0004651726","1.1436776139","","0","0.01","0.00204","","0.002016","0.0000316488","0.0001152","0","0.000000345","0.0000006003","0.0000029286","0","0","0","","4.6443595056"
"2024-05-21","4.4383687294","0.1513446024","1.6381957269","0.3107","0","0.01","0.00187","","0.00213","0.0000216488","0.0001056","0","0.000000345","0.0000006003","0.0000029285","0","0","","","6.5527401813"
"2024-05-22","4.4401613677","0.2592034288","1.638366819","0.5736029778","0","0.01","0.00187","0.1","0.00222","0.0000216488","0.0001056","0","0.000000343","0.0000004959","0.0000027953","0","0","","","7.0255554763"
"2024-05-23","4.4401221983","0.2592039397","1.6385446193","0.5736","0","0.01","0.00204","","0.002214","0.0000216488","0.0001152","0","0.000000327","0.000000522","0.0000028398","0","0","","","6.9258652949"
"2024-05-24","4.440112368","0.2592034454","1.6383711346","0.5736","0","0.01","0.00187","","0.002214","0.0001817859","0.0000912","0","0.000000285","0.0000006003","0.0000027729","0","0","","","6.9256475921"
"2024-05-25","4.4401159846","0.259203993","1.6385379737","0.5736","0","0.01","0.001785","","0.002268","0.0001917964","0.000096","0","0.0000003","0.0000004959","0.0000027953","0","0","","","6.9258023389"
"2024-05-26","4.4401136107","0.2592023263","1.6383699061","0.5736","0.0014","0.01","0.001615","","0.002337","0.0001817877","0.0000864","0","0.000000299","0.0000004698","0.0000028619","0","0","","","6.9269096615"
"2024-05-27","4.440129189","0.259202784","1.6385344171","0.5736","0.0014","0.01","0.001615","","0.002337","0.0001817964","0.0000864","0","0.000000285","0.0000005742","0.0000028397","0","0","","","6.9270902854"
"2024-05-28","4.4406005482","0.2599742288","2.0162073181","0.5736090666","0.0014","0.01","0.00187","","0.002364","0.0001917964","0.0001008","0","0.000000357","0.0000004698","0.0000027506","0","0","","","7.3063213355"
"2024-05-29","4.6012884631","1.7891106067","1.7895827067","0.9799196445","0.0014","0.01","0.001785","","0.002346","0.0017466151","0.0000912","0","0.000000285","0.0000005742","0.0000035157","0","0","","","9.177274611"
"2024-05-30","4.6801165243","2.1000048188","1.7856356275","1.1472","0.0014","0.01","0.001785","","0.002337","0.0021233026","0.000096","0","0.000000328","0.0000006003","0.0000036265","0","0","","","9.730702828"
"2024-05-31","4.6815827264","2.1000155037","1.7925318972","1.147312213","0.0014","0.01","0.001955","","0.002337","0.0025453706","0.0000912","0","0.000000298","0.000000522","0.0000036257","0","0","0","","9.7397753566"
"2024-06-01","4.6801310062","2.1000016465","1.8001693645","1.1472030432","0","0.01","0.001785","0.1","0.002214","0.0022701325","0.0001152","0","0.000000315","0.0000005742","0.0000035156","0","0","","","9.8438937977"
"2024-06-02","4.6801165667","2.1000023485","1.8003416353","1.1472","0","0.01","0.001955","","0.002268","0.0024264141","0.0001104","0","0.000000284","0.0000005481","0.0000036368","0","0","","","9.7444248335"
"2024-06-03","4.6806463921","2.1002451174","1.8147743475","1.147318298","0","0.01","0.001615","","0.002214","0.0027357374","0.0001104","0","0.000000269","0.0000004437","0.0000034301","0","0","","","9.7596634352"
"2024-06-04","4.6808282693","2.1000034889","1.8003590632","1.1472070011","0","0.01","0.00153","","0.002214","0.0017495988","0.0000912","0","0.00000027","0.0000004698","0.000003111","0","0","","","9.7439864721"
"2024-06-05","4.6801261965","2.1000033999","1.8003436178","1.1472","0","0.01","0.001445","","0.001782","0.0015573259","0.000096","0","0.00000024","0.000000522","0.0000025768","0","0","","","9.7425568789"
"2024-06-06","4.6801196763","2.1000016787","1.800175482","1.1472025938","0","0.01","0.00153","","0.001998","0.0017782093","0.000096","0","0.000000313","0.0000004959","0.0000030821","0","0","","","9.7429055311"
"2024-06-07","4.6818092732","2.1000020921","1.8002363195","1.1472010103","0","","0.00153","","0.001944","0.0019610412","0.0000864","0","0.00000027","0.0000004698","0.0000030828","0","0","","","9.7347739589"
"2024-06-08","4.6801253625","2.10000199","1.8001774659","1.1472005702","0","0.01","0.00136","","0.001944","0.0015783447","0.0000864","0","0.000000298","0.000000522","0.0000031253","0","0","","","9.7424780786"
"2024-06-09","4.6801273876","2.1000015732","1.8003403685","1.147231947","0","0.01","0.0017","","0.001944","0.0017483717","0.0000912","0","0.000000314","0.0000004698","0.000003189","0","0","","","9.7431888208"
"2024-06-10","4.6837015191","2.1000021968","1.8003620293","1.1472119743","0","0.01","0.001275","","0.001944","0.0018333852","0.0000816","0","0.000000269","0.0000004698","0.0000031633","0","0","","","9.7464156068"
"2024-06-11","4.6825868799","2.1000107416","1.8008617353","1.1473128616","0","0.01","0.00136","","0.001944","0.0015783447","0.000072","0","0.000000225","0.0000003915","0.0000029349","0","0","","","9.7457301145"
"2024-06-12","4.6805087031","2.1000068153","1.8033207239","1.1474364032","0","0.01","0.0094877784","","0.00207","0.0014958279","0.000072","0","0.00000021","0.0000003393","0.0000029047","0","0","","","9.7544017058"
"2024-06-13","4.6863566113","2.1000050648","1.8041900288","1.1474725015","0","0.01","0.0151183344","","0.002166","0.0016671867","0.0000768","0","0.000000225","0.0000003915","0.0000029424","0","0","","","9.7670560864"
"2024-06-14","4.6856634569","2.1000080685","1.8003357625","1.1475363621","0","0.01","0.0151083344","","0.001986","0.0012258245","0.000048","0","0.000000165","0.0000002349","0.0000029539","0","0","","","9.7619151627"
"2024-06-15","4.6801154427","2.1000021925","1.8003413464","1.1472034086","0","0.01","0.0137833344","","0.00204","0.0007282107","0.000024","0","0.00000006","0.0000001305","0.0000034284","0","0","","","9.7542415542"
"2024-06-16","4.6801138348","2.1000024826","1.8001815043","1.1472005644","0","0.01","0.0134233344","","0.00204","0.0003881568","0.0000096","0","0.000000015","0.0000000261","0.0000035796","0","0","","","9.753363098"
"2024-06-17","4.690321862","2.1000098397","1.8004503512","1.1477639053","","","0.0134277788","","0.002052","0.0003031436","","","","","0.0000036052","0","","","","9.7543324858"
"2024-06-18","4.6932347764","2.1000181707","1.800257722","1.1476959314","","","0.0130927788","","0.00204","0.0003031434","","","","","0.0000032337","0","","","","9.7566457564"
"2024-06-19","4.6817973131","2.1000146096","1.8002875737","1.1474276576","0","","0.0135083344","","0.0015","0.000306972","0.0000144","","0.000000015","0.0000000261","0.0000029053","0","","","","9.7448598068"
"2024-06-20","4.6861841388","2.0125111712","1.8002485135","1.1474201283","","","0.0135083344","","0.00132","0.0003308011","","","","","0.0000028993","0","","","","9.6615259866"
"2024-06-21","4.6801176559","2.1000072162","1.8003534195","1.1472025333","0","0.03","0.0135133344","","0.00186","0.0004731714","0.0000096","0","0.000000045","0.0000000783","0.0000029104","0","0","","","9.7735399644"
"2024-06-22","4.6801162971","2.1000069965","1.8001893817","1.1472","0","0.01","0.0133333344","","0.00186","0.0003881568","0.0000048","","","","0.0000029272","0","0","","","9.7531018937"
"2024-06-23","4.6818102237","2.1000062379","1.8003520423","1.1472","0","0.06","0.0140533344","","0.00204","0.0008982372","0.0000288","0","0.0000001637","0.0000001827","0.0000030354","0","0","","","9.8063922573"
"2024-06-24","4.6801187057","2.1000064301","1.8001881121","1.1473707058","0.0021","0.01","0.0157633344","","0.00228","0.0026847456","0.0001296","0","0.000000402","0.0000007047","0.0000028544","0","0","","","9.7606455948"
"2024-06-25","4.6801222444","2.1000082554","1.8052696756","1.1472024889","0.0021","0.01","0.0160333344","","0.00222","0.0029385588","0.0001488","0","0.000000385","0.0000008091","0.0000028396","0","0","","","9.7660473912"
"2024-06-26","4.6804733374","2.1000078915","1.8072292564","1.1472218003","0.0021","0.01","0.0602833344","","0.0018","0.0030235722","0.0001488","0","0.000000458","0.0000008091","0.0000028175","0","0","","","9.8122920768"
"2024-06-27","4.6803059263","2.1000063927","1.8045982301","1.1472032073","0.0021","0.01","0.0420833344","","0.00222","0.0022596786","0.0001104","0","0.000000342","0.0000006264","0.0000027506","0","0","","","9.7908908884"
"2024-06-28","4.6801743881","2.100003268","1.8001797886","1.1472119001","0.0021","0.01","0.0162133344","","0.002205","0.002517321","0.0001488","0","0.000000399","0.0000007047","0.0000028317","0","0","","","9.7607577356"
"2024-06-29","4.6801238166","2.1000027498","1.8003433894","1.1472031006","0.0021","0.01","0.0161233344","","0.002268","0.0029385588","0.0001536","0","0.000000458","0.0000006786","0.0000028154","0","0","","","9.7612605016"
"2024-06-30","4.6801202503","2.1000033955","1.8001808402","1.1472","0.0014","0.01","0.0162133344","","0.002268","0.003109857","0.0001536","0","0.000000369","0.0000008352","0.0000028496","0","0","","","9.7606533312"
"2024-07-01","4.6801089465","2.1000031584","1.7856534354","1.147243547","0","0.01","0.0156032256","0.1","0.0021","0.0029384922","0.0001248","0","0.000000384","0.0000008352","0.0000027952","0","0","","","9.8437796195"
"2024-07-02","4.6828814861","2.1000459576","1.7964343653","1.1473496511","0","0.01","0.0156932256","","0.00204","0.0025134252","0.00012","0.0000000022","0.000000472","0.0000008091","0.0000028617","0","0","","","9.7570822559"
"2024-07-03","4.6867504831","2.1000126932","1.7900431738","1.1475523968","0","0.01","0.0477351072","","0.001866","0.0029423208","0.0001488","0","0.000000458","0.0000008091","0.0000027489","0","0","","","9.7870549909"
"2024-07-04","4.6802364226","2.1000095497","1.7904852282","1.1473131484","0","0.01","0.0709114512","","0.0021","0.002683452","0.0001056","0","0.000000413","0.0000007308","0.0000028832","0","0","","","9.8038488791"
"2024-07-05","4.6801740223","2.1000090343","1.7907747508","1.1475229748","0","0.01","0.0704214512","","0.0018","0.0022608819","0.0001152","0","0.000000342","0.0000006003","0.0000027507","0","0","","","9.8030820083"
"2024-07-06","4.6801682808","2.1000034808","1.7906009325","1.1472341551","0","0.02","0.0702614512","","0.00222","0.0021733723","0.0001008","0","0.000000328","0.0000005481","0.0000026962","0","0","","","9.812766045"
"2024-07-07","4.6801682996","2.1000035605","1.7907789511","1.1473313072","0","0.01","0.0700664512","","0.0021","0.0019183315","0.0001056","0","0.000000329","0.0000006003","0.0000027597","0","0","","","9.8024761901"
"2024-07-08","4.6813148561","2.1000072876","1.7877439663","1.1472912605","0","0.01","0.0449464512","","0.002172","0.0022583859","0.0001056","0","0.000000329","0.0000005742","0.0000027426","0","0","","","9.7758434534"
"2024-07-09","4.6847546896","2.1001253656","1.7915930505","1.1476180733","0","0.01","0.0280364512","","0.00216","0.0039201951","0.0001056","0","0.000000327","0.0000005742","0.0000027815","0","0","","","9.768317108"
"2024-07-10","4.6801559692","2.1000181002","1.7856773671","1.1475096957","0","0.01","0.0275811824","","0.0021","0.0031122067","0.0001392","0","0.00000043","0.0000006525","0.0000027058","0","0","","","9.7562975096"
"2024-07-11","4.680117366","2.1000036182","1.7871781368","1.1475131242","0","0.01","0.0287864512","","0.00216","0.0029442619","0.0001104","0","0.000000399","0.0000008352","0.0000026892","0","0","","","9.7588172817"
"2024-07-12","4.6801379559","2.1000075835","1.7889541933","1.1472189248","0.0252","0.01","0.0288464512","","0.00216","0.0030292333","0.0001392","0","0.000000486","0.0000008613","0.000002877","0","0","","","9.7856977663"
"2024-07-13","4.6801701279","2.100006439","1.7855017258","1.1475146751","0.0252","0.01","0.0288464512","","0.0021","0.0030280057","0.0001488","0","0.000000384","0.0000008352","0.0000027754","0","0","","","9.7825202193"
"2024-07-14","4.6801697885","2.1000069772","1.7856681067","1.1475197086","0.3808","0.01","0.0285964512","","0.00216","0.0028579789","0.0001488","0","0.00000043","0.000000783","0.0000029062","0","0","","","10.1379319303"
"2024-07-15","4.6801699491","2.1000058457","1.7854694854","1.1472029596","0.3927","0.01","0.0286564512","","0.00216","0.0028579789","0.000144","0","0.000000472","0.0000008091","0.0000028397","0","0","","","10.1493707907"
"2024-07-16","4.6803100151","2.10000419","1.785659553","1.1472376923","0.4046","0.01","0.0286564512","","0.00216","0.0029429929","0.0001488","0","0.000000444","0.0000008091","0.0000029211","0","0","","","10.1617238687"
"2024-07-17","4.6802839236","2.100007411","1.785522182","1.1475404592","0.3927","0.01","0.0286564512","","0.00216","0.002921975","0.000144","0","0.000000444","0.000000783","0.0000029582","0","0","","","10.1499405872"
"2024-07-18","4.6802995235","2.1000059049","1.7856802586","1.1473500755","0.3808","0.01","0.0275561824","","0.00216","0.0027742352","0.0001392","0","0.00000043","0.0000007569","0.0000028616","0","0","","","10.1367694286"
"2024-07-19","4.6801712886","2.1000039746","1.7854993686","1.1472","0.3332","0.02","0.0279914512","","0.0021","0.0023491261","0.0001152","0","0.0000010627","0.0000006525","0.0000028386","0","0","","","10.0986349629"
"2024-07-20","4.6801739542","2.1000040499","1.7856608839","1.14727214","0.2261","0.01","0.0271364512","","0.00216","0.0017566337","0.0000816","0","0.0000010497","0.0000004698","0.0000030155","0","0","","","9.9803502479"
"2024-07-21","4.6801726268","2.1000039399","1.7855026739","1.1472022373","0.2023","0.01","0.0260961824","","0.0021","0.0014977645","0.000072","0","0.0000012696","0.0000003654","0.0000029396","0","0","","","9.9549519994"
"2024-07-22","4.6802005069","2.1000042212","1.7856611979","1.1472361483","0.2023","","0.0270414512","","0.0021","0.0020104602","0.0000624","0","0.0000012546","0.0000003393","0.0000030014","0","0","","","9.946620981"
"2024-07-23","4.6811059561","2.1000058394","1.7888235907","1.1475196049","0.3689","0.01","0.0284664512","","0.0021","0.0027753655","0.0001344","0","0.0000012247","0.0000007569","0.0000028487","0","0","","","10.1298360381"
"2024-07-24","4.6810375023","2.1000052246","1.7856637137","1.1472077924","0.3094","0.01","0.0286564512","","0.00204","0.0028627789","0.0001344","0.0000285","0.000001417","0.0000007308","0.0000030495","0","0","","","10.0670415604"
"2024-07-25","4.6801774893","2.1000056815","1.7872244784","1.1475316832","0.3213","0.01","0.0280264512","","0.00216","0.0023659623","0.0001152","0.000024","0.0000014186","0.0000006264","0.0000029941","0","0","","","10.078935985"
"2024-07-26","4.6802051285","2.1000056171","1.7856715637","1.1472406275","0.3094","0.01","0.0279314512","","0.00216","0.002047306","0.0001056","0.000023","0.0000011097","0.0000006003","0.000002927","0","0","","","10.064794931"
"2024-07-27","4.6810204938","2.1000044753","1.7855030864","1.1474920103","0.2975","0.01","0.0280264512","","0.00216","0.002220793","0.0001008","0.0000225","0.0000013896","0.0000006003","0.0000028842","0","0","","","10.0540554841"
"2024-07-28","4.680178717","2.1000052259","1.7856632038","1.1475117547","0.2975","0.01","0.0278964512","","0.002268","0.0020356466","0.0001008","0.0000215","0.0000011097","0.0000005742","0.000002924","0","0","","","10.0531859071"
"2024-07-29","4.6801788249","2.1000049895","1.7854996505","1.147209692","0.2499","0.01","0.0275164512","","0.002268","0.0018764632","0.0000912","0.000018","0.0000013296","0.0000004959","0.000003082","0","0","","","10.0045681788"
"2024-07-30","4.6802778863","2.1000036588","1.785662606","1.1475374453","0.238","0.01","0.0273264512","","0.002268","0.0020389979","0.0000768","0.0000165","0.0000012996","0.0000003654","0.000002928","0","0","","","9.9932129385"
"2024-07-31","4.6802530748","2.1000046143","1.7855289755","1.1472243329","0.2142","0.01","0.0273664512","","0.002268","0.0015251409","0.0000816","0.0000155","0.0000010347","0.0000004176","0.0000030592","0","0","","","9.9684722011"
"2024-08-01","4.6810508929","2.1000051761","1.7856722108","1.1475128651","0","0.01","0.0268514512","0.1","0.00216","0.0015416466","0.0000768","0","0.0000010337","0.0000004437","0.0000029719","0","0","","","9.854875492"
"2024-08-02","4.6804944607","2.1000061281","1.7855177267","1.1472901385","0","0.01","0.0279314512","","0.00186","0.0021351689","0.00012","0","0.0000013876","0.0000006525","0.0000030704","0","0","","","9.7553601846"
"2024-08-03","4.6801143248","2.1000039164","1.7856598684","1.1475011044","0.014","0.01","0.0273264512","","0.0021","0.0017040373","0.0000816","0","0.0000010497","0.0000004437","0.0000028934","0","0","","","9.7684956893"
"2024-08-04","4.6801193679","2.1000048152","1.7854983268","1.1472005644","0.0133","0.01","0.0273264512","","0.00216","0.0017484485","0.0000768","0","0.0000012996","0.0000004176","0.0000029713","0","0","","","9.7674394625"
"2024-08-05","4.6801896624","2.1000037642","1.7856610699","1.1475124045","0.0133","0.01","0.0273264512","","0.00216","0.0015434759","0.000072","0","0.0000010347","0.0000004437","0.0000031836","0","0","","","9.7677734901"
"2024-08-06","4.6802735587","2.1000065334","1.7923853776","1.1472496737","0.0105","0.01","0.0272314512","","0.00216","0.0018645548","0.000072","0","0.0000012996","0.0000004176","0.0000030884","0","0","","","9.771747955"
"2024-08-07","4.6802455381","2.1000047338","1.7889853189","1.1475231716","0.2261","0.01","0.0272314512","","0.00216","0.0015961845","0.000072","0.0000175","0.0000012846","0.0000004176","0.0000030159","0","0","","","9.9839406162"
"2024-08-08","4.6802142802","2.1000065042","1.7887242709","1.1475064534","0.2618","0.01","0.0275164512","","0.00216","0.0017181625","0.0000864","0.0000175","0.0000010777","0.0000003915","0.0000029908","0","0","","","10.0197544824"
"2024-08-09","4.6801582646","2.1000050482","1.7856616219","1.147207904","0.238","0.01","0.0274214512","","0.00216","0.001486901","0.000072","0.000017","0.0000012836","0.0000003654","0.0000031348","0","0","","","9.9921949747"
"2024-08-10","4.6801167036","2.1000038941","1.7854978694","1.1474871461","0.2261","0.01","0.0273264512","","0.00222","0.0015059045","0.0000768","0.000016","0.0000012996","0.0000004176","0.0000030086","0","0","","","9.9803554947"
"2024-08-11","4.6809530522","2.1000044778","1.7856623465","1.1472060296","0.2856","0.01","0.0273264512","","0.00216","0.0020137767","0.0000768","0.000021","0.0000013136","0.000000522","0.0000029496","0","0","","","10.0410287192"
"2024-08-12","4.6801201771","2.100004769","1.7854965727","1.1475072875","0.2261","0.01","0.0273264512","","0.00216","0.0015664912","0.0000816","0.000015","0.0000010347","0.0000004176","0.0000030396","0","0","","","9.9803828406"
"2024-08-13","4.6801237943","2.1000047802","1.7856647748","1.1472121102","0.2261","0.01","0.0274214512","","0.0018","0.0015540023","0.000072","0.000015","0.0000010197","0.0000004176","0.0000029724","0","0","","","9.9799723227"
"2024-08-14","4.6801229294","2.1000038966","1.790554263","1.1475140538","0.2142","0.01","0.0273264512","","0.0021","0.0016348272","0.0000768","0.0000155","0.0000013146","0.0000004437","0.0000029286","0","0","","","9.9735534081"
"2024-08-15","4.6801254516","2.1000038916","1.7856596908","1.1472217216","0.2142","0.01","0.0271364512","","0.00216","0.0014814778","0.0000768","0.000015","0.0000010497","0.0000004176","0.0000029945","0","0","","","9.9680849464"
"2024-08-16","4.6810213572","2.1000049305","1.7855005922","1.1474819928","0.2499","0.01","0.0276114512","","0.00216","0.0019065448","0.0000864","0.0000185","0.0000013296","0.0000004959","0.0000029968","0","0","","","10.005696591"
"2024-08-17","4.6801838364","2.1000037291","1.785656757","1.1472088504","0.1904","0.01","0.0270414512","","0.00216","0.0014693211","0.0000672","0.000015","0.0000010197","0.0000003915","0.0000030672","0","0","","","9.9442106236"
"2024-08-18","4.6801780812","2.1000040189","1.7854942863","1.1475068719","0.2142","0.01","0.0272314512","","0.00216","0.0014839756","0.000072","0.000014","0.0000012846","0.0000003915","0.000003322","0","0","","","9.9683496832"
"2024-08-19","4.6802122464","2.100004691","1.7856618927","1.1472073482","0.2142","","0.0272314512","","0.00216","0.0013750572","0.000072","0.000015","0.0000010197","0.0000003915","0.0000032982","0","0","","","9.9581443961"
"2024-08-20","4.680224442","2.1000052927","1.7905015043","1.1474880839","0.2856","0.01","0.0278964512","","0.00216","0.0022286868","0.0001056","0.000022","0.0000013886","0.0000004698","0.0000031247","0","0","","","10.046237044"
"2024-08-21","4.680231814","2.1000073244","1.7857226636","1.1472243088","0.2856","0.01","0.0276114512","","0.00216","0.0019643227","0.0001008","0.000022","0.0000013746","0.0000005742","0.000003164","0","0","","","10.0406497975"
"2024-08-22","4.6802296997","2.1000079133","1.7855017115","1.1475667185","0.2856","0.01","0.0278014512","","0.00216","0.0020207544","0.000096","0.0000215","0.0000011087","0.0000004437","0.0000031809","0","0","","","10.0410104819"
"2024-08-23","4.6801417155","2.1000111964","1.7856780655","1.1476285258","0.3094","0.01","0.0278964512","","0.00186","0.0024146666","0.0001056","0.000022","0.000001403","0.0000006003","0.0000030166","0","0","","","10.0651632409"
"2024-08-24","4.6809635705","2.1000069843","1.7855013161","1.1472951544","0.3332","0.01","0.0282764512","","0.0018","0.0024016235","0.00012","0.000026","0.0000014326","0.0000006786","0.000003081","0","0","","","10.0895962922"
"2024-08-25","4.6801162579","2.1000047633","1.7856610266","1.1475451247","0.3689","0.01","0.0272011824","","0.00186","0.0024166186","0.0001296","0.0000245","0.0000011817","0.0000007308","0.0000030867","0","0","","","10.1238640727"
"2024-08-26","4.6801151891","2.1000057591","1.7855000742","1.1475249821","0.2856","0.01","0.0277064512","","0.00192","0.0019019772","0.000096","0.0000205","0.0000013746","0.000000522","0.000003175","0","0","","","10.0403960045"
"2024-08-27","4.6801169038","2.100005188","1.7856655488","1.1475762364","0.3094","0.01","0.0279914512","","0.00186","0.0021494334","0.0001104","0.000023","0.0000014036","0.0000006003","0.0000029923","0","0","","","10.0649031578"
"2024-08-28","4.6809608254","2.1000049434","1.7855012689","1.1474949711","0.2975","0.01","0.0267261824","","0.0018","0.0019982081","0.000096","0.000021","0.0000011247","0.0000005481","0.0000030156","0","0","","","10.0521080877"
"2024-08-29","4.6801193339","2.1000057758","1.7856820828","1.147292891","0.2499","0.01","0.0271364512","","0.001827","0.001815986","0.000096","0.0000185","0.0000013446","0.0000004437","0.0000028819","0","0","","","10.0038986909"
"2024-08-30","4.6801193163","2.1000087711","1.7855167718","1.1472957869","0.0651","0.01","0.0262764512","","0.00189","0.0013251696","0.0000272","0.0000125","0.0000013615","0.0000010608","0.000000651","0","0","","","9.8175750402"
"2024-08-31","4.6801132103","2.1000081968","1.7856695722","1.1472911151","0.0084","0.01","0.0258814512","","0.002268","0.0008154912","0.0000028","0.0000065","0.0000013017","0.0000014349","","0","0","","","9.7604590734"
"2024-09-01","4.680115394","2.1000089814","1.8002177746","1.1472600377","0","0.01","0.0268316664","0.1","0.0021","0.0010468582","0","0","0.0000015549","0.0000014349","","0","0","","","9.8675837021"
"2024-09-02","4.6801154631","2.1000052817","1.8003743796","1.1472937892","0","0.01","0.0267566664","","0.00222","0.0008078257","0.0000024","0","0.0000015549","0.0000014349","","0","0","","","9.7675787955"
"2024-09-03","4.6801172659","2.1000064733","1.8002127846","1.1472911416","0","0.01","0.0267716664","","0.00216","0.0011221576","0.0000028","0","0.0000015551","0.0000014349","","0","0","","","9.7676872794"
"2024-09-04","4.6801439601","2.1000071293","1.8003785178","1.1475394484","0","","0.0267566664","","0.00216","0.0008078307","0.0000024","0","0.0000018083","0.0000014349","","0","0","","","9.7577991959"
"2024-09-05","4.6802066672","2.1000060039","1.8019645964","1.1472591037","0","0.01","0.0267566664","","0.00204","0.0006981837","0.0000028","0","0.0000015549","0.0000014349","","0","0","","","9.7689370111"
"2024-09-06","4.6801660323","2.1000054112","1.8036783105","1.1472022693","0.0063","0.01","0.0267566664","","0.0021","0.000649507","0.0000024","0","0.0000015549","0.0000014349","","0","0","","","9.7768635865"
"2024-09-07","4.6810051383","2.1000065593","1.8002117893","1.1472057956","0.007","0.02","0.0267866664","","0.0021","0.0008604859","0.0000028","0","0.0000018202","0.0000014349","","0","0","","","9.7851824899"
"2024-09-08","4.6801738842","2.100004296","1.80036953","1.1474472333","0.0077","0.01","0.0267866664","","0.00216","0.0007793689","0.0000032","0","0.0000015549","0.0000014349","","0","0","","","9.7754271686"
"2024-09-09","4.6801769314","2.1000060867","1.8002096078","1.1472005673","0.0049","","0.0267416664","","0.00204","0.0006327878","0.000002","0","0.00000129","0.0000014349","","0","0","","","9.7619123723"
"2024-09-10","4.681041875","2.1000041629","1.8003744248","1.1474224544","0.0105","0.02","0.0268316664","","0.00204","0.0011256658","0.0000044","0","0.0000015551","0.0000014349","","0","0","","","9.7893476393"
