"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","Service Catalog($)","Cost Explorer($)","Secrets Manager($)","Route 53($)","Key Management Service($)","S3($)","SQS($)","SNS($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudTrail($)","Glue($)","CloudWatch($)","CloudFormation($)","Total costs($)"
"Service total","1625.5896255151","713.2120356126","637.137020242","393.115108271","13.048","12.61","8.7511204451","2.5","0.501114","0.471883021","0.0109712","0.0024230022","0.0004199614","0.0003840166","0.0003138551","0","0","0","0","3406.9504191421"
"2024-04-01","","","","","","","","","","","","","","","","","","","","0"
"2024-04-02","","","","","","","","","","","","","","","","","","","","0"
"2024-04-03","","","","","","","","","","","","","","","","","","","","0"
"2024-04-04","","","","","","","","","","","","","","","","","","","","0"
"2024-04-05","","","","","","","","","","","","","","","","","","","","0"
"2024-04-06","","","","","","","","","","","","","","","","","","","","0"
"2024-04-07","","","","","","","","","","","","","","","","","","","","0"
"2024-04-08","","","","","","","","","","","","","","","","","","","","0"
"2024-04-09","","","","","","","","","","","","","","","","","","","","0"
"2024-04-10","","","","","","","","","","","","","","","","","","","","0"
"2024-04-11","","","","","","","","","","","","","","","","","","","","0"
"2024-04-12","","","","","","","","","","","","","","","","","","","","0"
"2024-04-13","","","","","","","","","","","","","","","","","","","","0"
"2024-04-14","","","","","","","","","","","","","","","","","","","","0"
"2024-04-15","","","","","","","","","","","","","","","","","","","","0"
"2024-04-16","","","","","","","","","","","","","","","","","","","","0"
"2024-04-17","","","","","","","","","","","","","","","","","","","","0"
"2024-04-18","","","","","","","","","","","","","","","","","","","","0"
"2024-04-19","","","","","","","","","","","","","","","","","","","","0"
"2024-04-20","","","","","","","","","","","","","","","","","","","","0"
"2024-04-21","","","","","","","","","","","","","","","","","","","","0"
"2024-04-22","","","","","","","","","","","","","","","","","","","","0"
"2024-04-23","","","","","","","","","","","","","","","","","","","","0"
"2024-04-24","","","","","","","","","","","","","","","","","","","","0"
"2024-04-25","","","","","","","","","","","","","","","","","","","","0"
"2024-04-26","","","","","","","","","","","","","","","","","","","","0"
"2024-04-27","","","","","","","","","","","","","","","","","","","","0"
"2024-04-28","","","","","","","","","","","","","","","","","","","","0"
"2024-04-29","","","","","","","","","","","","","","","","","","","","0"
"2024-04-30","","","","","","","","","","","","","","","","","","","","0"
