"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Container Service for Kubernetes($)","Relational Database Service($)","CloudWatch($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","S3($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Secrets Manager($)","SQS($)","SNS($)","Key Management Service($)","Lambda($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","12890.9012753041","3126.2095490876","2060.3098623743","908.56077","844.5911984585","234.1084826046","179.4875599372","26.4565661007","21.5492451338","15.42","13.1166","8.841026","8.0910263325","5.264629418","3.4254067998","0.897210828","0.752187","0.0007774265","0.0004397813","0.0004310227","0.0004078571","0","0","0","20347.9846514667"
"2024-04-01","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-02","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-03","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-04","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-05","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-06","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-07","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-08","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-09","","","","","","","","","0.0000262471","0.01","0","","","0.000935","0.0000912","0","0.001344","","0.000001764","0.000000269","0.0000003654","0","0","","0.0123988455"
"2024-04-10","","","","","","","","","0.0000216488","0.01","0","","","0.00187","0.0001056","0","0.001968","","0.000003095","0.000000345","0.0000005742","0","0","","0.013969263"
"2024-04-11","","","","","","","","","0.0000216488","0.01","0","","","0.002295","0.00012","0","0.001968","","0.0000029403","0.000000401","0.0000005481","0","0","","0.0144085382"
"2024-04-12","","","","","","","","","0.0000216488","0.01","0","","","0.001785","0.0001344","0","0.001968","","0.0000029903","0.000000416","0.0000007047","0","0","","0.0139131598"
"2024-04-13","","","","","","","","","0.0000216488","0.01","0","","","0.00221","0.0001296","0","0.002016","","0.0000030166","0.000000413","0.0000006786","0","0","","0.014381357"
"2024-04-14","","","","","","","","","0.0000216488","0.01","0","","","0.00238","0.0001344","0","0.001968","","0.0000031008","0.000000402","0.0000007308","0","0","","0.0145082824"
"2024-04-15","","","","","","","","","0.0000216488","0.01","0","","","0.002465","0.00012","0","0.001968","","0.0000029766","0.00000043","0.0000007308","0","0","","0.0145787862"
"2024-04-16","","","0.12602639","","","0.0142592591","","","0.0003422524","0.01","0","","0.010656","0.001955","0.0001296","0","0.001968","","0.0000030528","0.000000402","0.0000007047","0","0","","0.165340661"
"2024-04-17","","2.016","2.5709675065","","","0.0266666664","","","0.0002275502","0.01","0","","0.021312","0.00204","0.0001152","0","0.001632","","0.0000028372","0.000000374","0.0000006525","0","0","","4.6489647868"
"2024-04-18","","2.688","4.5601191268","","","0.0266666664","","","0.0002767717","0.01","0","","0.021312","0.0088016672","0.0001152","0","0.002097","","0.0000029268","0.000000356","0.0000006786","0","0","","7.3173923935"
"2024-04-19","11.8811016413","4.9648723364","4.7604335895","1.38055125","","0.3699999963","","","0.0012651213","0.01","0","","0.021312","0.0154733344","0.00012","0","0.00222","","0.0000029705","0.000000385","0.0000006003","0","0","","23.407353225"
