account_id,account_name
471112571211,ppsl-dwh-prod
656952484900,Paytm Money
659606126372,URJA MONEY PVT LTD
352506242819,payments-platform_prod_ocl
762730909359,PM-Equities
968032760053,Fraud AWS
906954799739,Nearbuy
898496923608,games_pfg
445736908015,recharge bill payments_ocl
899249751508,PayTm DaaS ML
546818093346,verifierAWS
705108899578,daas-managed-services
272415727726,Paytm Ads
2637409966,user-management-prod
65278587813,rooter-io
11420223908,PM-DataLake
21891570382,Risk-Lending(new)
17820698743,risk-devops-tools
567423616371,parent account_ocl
479671683529,cdp risk_ocl
423969094700,push_notifications_ocl
3079193758,IOT Prod
72401294672,DMS AWS
564188254156,Lending DataScience
128131020113,pa-nonprod
654654208887,ppsl-recon-prod
211125336551,pml-infosec
851725259472,ppsl-app-sec
562921704166,paytm-ups
992382687474,pml-cst
381492193378,pml-datalake
647564693872,aml-prod
736384229724,cloudsecurity-logs
851725259328,ppsl-recon-nonprod
339712912282,pml-core-poc
304016915943,payments-data-rtdd_prod_ocl
469795226344,billing account_ocl
654654497161,ppsl-ump-prod
359716425895,Travel Aws
340077773684,Paytm Financial Services
424503791295,merchant-payments-api_prod_ocl
905418390117,ppsl-pg2-nonprod
210577074618,recon_prod_ocl
730335596554,ppsl-aml-prod
753168370952,hawkeye_ocl
58264205572,cst-prod
522974168642,chat_ocl
381491835802,uth-prod
975050351452,ppsl-binary-prod
767397827620,ppsl-oauth-prod
767397730150,ppsl-mo-prod
211125515568,risk-ocl-tpap
929265682896,payment-non-prod
700271710604,labs-llm
752518464574,User Preferences System
75790327284,cdp_growth marketing_ocl
576293063887,digital_insurance
518207312579,cst-ai
901553615594,merchantdashboards
698979518480,bitbucket_ocl
480732456233,dms-prod_ocl
736121233725,Paytmmoney Ltd. Data Platform
615069360012,merchant-ra-automation
992382517474,ppsl-central-tools
28914776520,edc_prod_ocl
654654315008,ondc-analytics
252197745876,AWS InfoSec
851725496687,pml-oauth-dr
718893572916,AaaS-nonprod
654654394550,oauth-nonprod
885068115609,pai-sre
538615689396,Pandora AWS
340677782776,aoa-prod
90436275138,Digital Channels
474140895141,Enterprise SMS
722152247093,central_app_tech_ocl
302399626617,ROOTER-DEV
370214104985,AMC Platform
529444375373,PIBPL Payer
161115069565,infosec-soc
746682193773,cds-clm
789596305652,regular_mf
Equity DR,Equity DR
608146213544,ppblmaquettepa-prod
977469002159,ppsl-oe-prod
131752971524,loyalitypoints
339712993293,Insurance-Oauth
New 1,<Place Holder for NOS Account>
66636274316,central_app_tech_web_ocl
233815244996,payment-platform_nonprod_ocl
664526282133,Paytm Labs
318633126153,AWS SMS
510772292268,cdo-dre
182401677120,onboardingengine
23903256547,central tools
685585466397,recon_nonprod_ocl
439726107081,risk-verifier-nonprod
97001033170,paytm_smart_retail_ocl
952840895893,User Management
337158390682,commoninfra_ocl
848332057417,mloyal_prod
541095382258,Card Tokenization
64619502227,CentralToolsPlatform
