account_id,account_name
469795226344,billing account_ocl
352506242819,payments-platform_prod_ocl
628412515026,Datalake AWS
567423616371,parent account_ocl
340077773684,Paytm Financial Services
304016915943,payments-data-rtdd_prod_ocl
968032760053,Fraud AWS
2637409966,user-management-prod
424503791295,merchant-payments-api_prod_ocl
75790327284,cdp_growth marketing_ocl
899249751508,PayTm DaaS ML
564188254156,Lending DataScience
898496923608,games_pfg
272415727726,Paytm Ads
337891198417,digital_cst
445736908015,recharge bill payments_ocl
211125458732,tpap-prod
705108899578,daas-managed-services
746682193773,cds
3079193758,IOT Prod
359716425895,Travel Aws
381491835802,uth-prod
811134095225,AWS DaaS
901553615594,merchantdashboards
479671683529,cdp risk_ocl
761904723706,kyb
755560366148,SAP-HANA
210577074618,recon_prod_ocl
182401677120,onboardingengine
423969094700,pai_push_ocl
419830208690,AaaS-prod
753168370952,hawkeye_ocl
929265682896,payment-non-prod
546818093346,verifierAWS
647564693872,aml-prod
975049957371,tpap-dwh
211125515568,risk-ocl-tpap
161115069565,infosec-soc
752518464574,User Preferences System
251917288737,IT Production
72401294672,Oauth AWS
522974168642,paytmchat_ocl
28914776520,edc_prod_ocl
233815244996,payment-platform_nonprod_ocl
407648374860,IT_BACKUP
576293063887,digital_insurance
758230397644,Mall Bangalore
239103975135,QR
252197745876,AWS InfoSec
474140895141,Enterprise SMS
495419344110,incentive
984308723723,commonsaas_ocl
789596305652,regular_mf
21891570382,risk-lending
480732456233,dms-prod_ocl
337158390682,dap_ocl
885068115609,pai-sre
90436275138,Digital Channels
663804405009,663804405009 - Redacted
318633126153,AWS SMS
442447453008,Digital Gold
736384229724,cloudsecurity-logs
340677782776,aoa-prod
997924011427,ckyc
685585466397,recon_nonprod_ocl
698979518480,central_pipeline_ocl
952840895893,User Management
562921704166,paytm-ups
66636274316,webnmweb_ocl
64619502227,CentralToolsPlatform
718893572916,AaaS-nonprod
339712759199,feature-store-ocl
664526282133,Paytm Labs
615069360012,merchant-ra-automation
339712810712,tpap-nonprod
722152247093,paytm_app_ocl
68930846606,emi-prod_ocl
127247839315,Sysops AWS
97001033170,smartretail_ocl
471112958605,lending-dwh
914516902729,finance_support_ocl
541095382258,Card Tokenization
54736913503,scp-mgv
848332057417,mloyal_prod
368920154232,central_app_tech_ocl
821240137883,edc_non prod_ocl
66548792077,IOT Core
439726107081,risk-verifier-nonprod
824873459626,miniapps_ocl
131752971524,tocom-aws
492902601864,ncmc_acquirer_ocl
153518195166,cdo-non-prod
625612021127,aoa-nonprod
611670160261,emi-nonprod
465354398947,aml-nonprod
135329050410,CityBus
130653941854,insurance-ds
272968093320,legalapps
510772292268,cdo-dre
494799526181,AWS_Paytm'Mloyal
700271710604,labs-llm
290310562512,290310562512 - Redacted
481935107677,DaaS-Apps
841860372390,fastag issuer_prod_ocl
630307967658,dms-nonprod_ocl
389881277731,merchant-business
116631508635,fastag_non prod_ocl
17820698743,risk-devops-tools
239666495852,paytmhealth_ocl
745098155683,merchant_automation
518207312579,cst-ai
471112938013,tpap-oauth-dr
218943325897,devopscommon
505767364771,risk anomaly
658447621694,hrtech_ocl
798411736697,ncmc-acq-rupay-switch
576911611801,poc_infra_testing_ocl
654654315008,ondc-analytics
161282784430,cdp-ppbl-pa
538615689396,Pandora AWS
548411824430,pocketurmoney
608146213544,ppblmaquettepa-prod
320811487590,dev-projects
367464822874,One97 IT
975049937880,975049937880 - Redacted
453914767997,risk-monitoring
737499001343,call-centre-ivr
661338130494,telco-testing
769263341944,769263341944 - Redacted
23903256547,central tools
264522784930,AWS DNS
475919677060,content_ocl
797142548187,797142548187 - Redacted
954976288980,tocom-aisensy
176839215860,aws-omnicard-Prod
576218818919,576218818919 - Redacted
269350686318,AWS Pan 2
678670235450,678670235450 - Redacted
605458724602,content_ml_ocl
239937555916,239937555916 - Redacted
463470958933,New Gold
860971823470,860971823470 - Redacted
907058949943,907058949943 - Redacted
322263815270,PM-EduTech-Prod
185774682289,pml-chat-dev
470060591194,edutech
532041146482,532041146482 - Redacted
913203018054,ppblpgpa-nonprod
850995531967,cst-playground
905418240150,905418240150 - Redacted
