account_id,account_name,entity,hod_id,cloud_id,business_id,percentage,prod_flg,account_creation_date,cls_flg,cls_date
002637409966,user-management-prod,OCL,00022072,,,,,,,
003079193758,IOT Prod,OCL,00026958,,,,,,,
009124235587,Payer1,PML,04001069,,,,,,,
011420223908,PM-DataLake,PML,04001069,,,,,,,
015680176265,Payer4,PPSL,00023538,,,,,,,
017820698743,risk-devops-tools,OCL,00059868,,,,,,,
021891570382,risk-lending,OCL,00059868,,,,,,,
023903256547,central tools,OCL,00023538,,,,,,,
028914776520,edc_prod_ocl,OCL,00026958,,,,,,,
036183559279,payer10,PaiPai,00060253,,,,,,,
054736913503,scp-mgv,OCL,00023538,,,,,,,
058264205572,ppsl-cst-prod,PPSL,00022072,,,,,,,
058264391305,pml-storefront,PML,04001069,,,,,,,
064619502227,CentralToolsPlatform,OCL,00023538,,,,,,,
065278587813,Rooter Sports Technology Pvt. Ltd.,Rooter,00000001,,,,,,,
066548792077,IOT Core,OCL,00026958,,,,,,,
066636274316,webnmweb_ocl,OCL,00000071,,,,,,,
068930846606,emi-prod_ocl,OCL,01100255,,,,,,,
072401294672,Oauth AWS,OCL,00015178,,,,,,,
075790327284,cdp_growth marketing_ocl,OCL,00029009,,,,,,,
090436275138,Digital Channels,OCL,00023538,,,,,,,
097001033170,smartretail_ocl,OCL,00026958,,,,,,,
116631508635,fastag_non prod_ocl,OCL,00023538,,,,,,,
123964038738,ROOTER-PROD-APPS,Rooter,00000001,,,,,,,
127247839315,Sysops AWS,OCL,00023538,,,,,,,
128131020113,pa-nonprod,PPSL,01100255,,,,,,,
130653941854,insurance-ds,OCL,00027680,,,,,,,
131752971524,tocom-aws,OCL,00023538,,,,,,,
135329050410,CityBus,OCL,00027680,,,,,,,
153518195166,cdo-non-prod,OCL,00029009,,,,,,,
155772818492,Insider (Events),Insider,00000071,,,,,,,
159245624542,leadsquared,PML,04001069,,,,,,,
161115069565,infosec-soc,OCL,00053973,,,,,,,
161282784430,cdp-ppbl-pa,OCL,00029009,,,,,,,
176839215860,aws-omnicard-Prod,OCL,00023593,,,,,,,
182401677120,onboardingengine,OCL,00015178,,,,,,,
185774682289,pml-chat-dev,OCL,04001069,,,,,,,
189893850600,pa-prod,PPSL,01100255,,,,,,,
210577074618,recon_prod_ocl,OCL,00022072,,,,,,,
211125336551,pml-infosec,PML,04001069,,,,,,,
211125458732,tpap-prod,OCL,00200063,,,,,,,
211125515568,risk-ocl-tpap,OCL,00059868,,,,,,,
218943325897,devopscommon,OCL,00029009,,,,,,,
233815244996,payment-platform_nonprod_ocl,OCL,01100255,,,,,,,
239103975135,QR,OCL,01100255,,,,,,,
239666495852,paytmhealth_ocl,OCL,00000071,,,,,,,
239937555916,ppsl-cardservice,PPSL,01100255,,,,,,,
251917288737,IT Production,OCL,00010006,,,,,,,
252197745876,AWS InfoSec,OCL,00053973,,,,,,,
264522784930,AWS DNS,OCL,00053973,,,,,,,
269350686318,AWS Pan 2,Labs,Labs017,,,,,,,
271855570343,ROOTER-PROD-CDN,Rooter,00000001,,,,,,,
272415727726,Paytm Ads,OCL,00200063,,,,,,,
272968093320,legalapps,OCL,00026242,,,,,,,
290310562512,Wallet-Nonprod,OCL,00023538,,,,,,,
302399626617,ROOTER-DEV,Rooter,00000001,,,,,,,
304016915943,payments-data-rtdd_prod_ocl,OCL,01100255,,,,,,,
318633126153,AWS SMS,OCL,00010006,,,,,,,
320811487590,dev-projects,OCL,00023538,,,,,,,
322263815270,PM-EduTech-Prod,OCL,04001069,,,,,,,
337158390682,dap_ocl,OCL,00023538,,,,,,,
337891198417,digital_cst,OCL,00022072,,,,,,,
339712759199,feature-store-ocl,OCL,Labs322,,,,,,,
339712810712,tpap-nonprod,OCL,00200063,,,,,,,
339712912282,pml-core-poc,PML,04001069,,,,,,,
339712993293,insurance-oauth,PIBPL,00300997,,,,,,,
340077773684,Paytm Financial Services,OCL,00029009,,,,,,,
340677782776,aoa-prod,OCL,01100255,,,,,,,
352506242819,payments-platform_prod_ocl,OCL,01100255,,,,,,,
359716425895,Travel Aws,OCL,00027680,,,,,,,
367464822874,One97 IT,OCL,00010006,,,,,,,
368920154232,central_app_tech_ocl,OCL,00000071,,,,,,,
370214104985,AMC Platform,PML,04001069,,,,,,,
381491835802,uth-prod,OCL,00200063,,,,,,,
381492106076,YBL-TSP-AWS-UAT V1,OCIL,00200063,,,,,,,
381492193378,pml-datalake,PML,04001069,,,,,,,
389881277731,merchant-business,OCL,00015178,,,,,,,
407648374860,IT_BACKUP,OCL,00010006,,,,,,,
419830208690,AaaS-prod,OCL,00029009,,,,,,,
423387369363,PML IT,PML,04001069,,,,,,,
