account_id,account_name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
758230397644,Mall Bangalore,29000,31000,32000,33000,35000,36000,37000,39000,40000,42000,42000,43000
419830208690,AaaS-prod,28200,25000,20000,20000,20000,20300,20700,21000,21400,21500,21900,22100
28914776520,edc_prod_ocl,26000,26000,27000,28000,29000,31000,31000,31000,31000,32000,32000,32000
906954799739,Nearbuy,25500,25700,26000,26300,26500,26800,27000,27300,27600,27900,28100,28400
929265682896,payment-non-prod,23000,23000,23000,23000,24000,24000,24000,23000,23000,23000,23000,23000
161115069565,infosec-soc,22000,22000,22000,22000,22000,22000,22000,22000,22500,22500,22500,22500
495419344110,incentive,19500,19500,19500,22000,22000,22000,25000,25000,25000,28000,28000,28000
522974168642,chat_ocl,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
663804405009,movies_ocl,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
155772818492,Insider (Events),18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
251917288737,IT Production,17500,17800,18100,18400,18700,19000,19300,19600,19900,20200,20500,20800
90436275138,Digital Channels,17000,17700,18400,19200,19900,20700,21600,22400,23300,24200,25200,26200
252197745876,AWS InfoSec,16500,16500,16500,16500,16500,16500,16500,16500,17000,17000,17000,17000
Equity DR,Equity DR,16000,16000,16000,24000,32000,48000,16000,16000,16000,24000,32000,48000
654654208887,ppsl-recon-prod,15000,15200,15300,15500,15600,15800,15900,16100,16200,16400,16600,16700
992382517474,ppsl-central-tools,15000,15200,15300,15500,15600,15800,15900,16100,16200,16400,16600,16700
952840895893,User Management,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
474140895141,Enterprise SMS,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
No_AC_ID3,OCIL Non-Prod - Risk,14000,14300,14600,14900,15200,15500,15800,16100,16400,16700,17100,17400
471112548387,ppsl-affordability-prod,14000,14100,14300,14400,14600,14700,14900,15000,15200,15300,15500,15600
647564693872,aml-prod,13000,13600,14300,15000,15800,16500,17400,18200,19100,20100,21100,22200
72401294672,DMS AWS,12000,12000,12000,13000,13000,13000,14000,14000,14000,15000,15000,15000
698979518480,bitbucket_ocl,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,14000,15000
984308723723,digital_saas_ocl,12000,12000,12500,12500,12500,13000,13000,13000,14000,14000,14000,14000
730335596554,ppsl-aml-prod,11800,11900,12000,12100,12200,12400,12500,12600,12700,12900,13000,13100
576293063887,digital_insurance,10200,10800,11300,11800,12300,12800,13200,13700,14200,14700,15200,15700
128131020113,pa-nonprod,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11200
905418390117,ppsl-pg2-nonprod,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11100,11200
767397827620,ppsl-oauth-prod,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
685585466397,recon_nonprod_ocl,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
337158390682,commoninfra_ocl,10000,10000,10000,11000,11000,11000,12000,12000,12000,13000,13000,13000
442231926211,lending-vkyc,9800,10100,10000,10000,10200,10200,10400,10500,10500,10500,11000,11200
340677782776,aoa-prod,9000,9000,9000,10000,10000,10000,12000,12000,12000,12000,12000,12000
977469002159,ppsl-oe-prod,9000,9100,9200,9300,9400,9500,9600,9600,9700,9800,9900,10000
66636274316,central_app_tech_web_ocl,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
848332057417,mloyal_prod,9000,10000,11000,11000,12000,12000,12000,13000,14000,15000,15000,15000
407648374860,IT_BACKUP,9000,9000,9000,9000,10000,10000,10000,11000,11000,11000,11000,12000
885068115609,pai-sre,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
538615689396,Pandora AWS,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
64619502227,CentralToolsPlatform,8000,8000,8000,9000,9000,9000,9000,10000,10000,11000,11000,11000
239103975135,QR,8000,8100,8200,10400,10500,10600,10700,10800,10800,10900,11000,11100
153518195166,cdo-non-prod,8000,8000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000
914516902729,finance_support_ocl,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
798411736697,ncmc-acq-rupay-switch,8000,8000,8000,8000,9000,9000,9000,9000,9000,10000,10000,10000
997924011427,ckyc,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
480732456233,dms-prod_ocl,7800,7800,7800,8500,8500,8500,9300,9300,9300,10000,10000,10000
337891198417,digital_cst,7200,7200,7200,58000,58000,58000,59000,59000,59000,59400,59400,59400
700271710604,labs-llm,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
851725496687,pml-oauth-dr,7000,7000,7000,7000,7000,20000,7000,7000,7000,7000,7000,20000
318633126153,AWS SMS,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
No_AC_ID4,OCIL Non-Prod - UPI Switch,7000,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
211125336551,pml-infosec,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
562921704166,paytm-ups,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
767397730150,ppsl-mo-prod,6000,6100,6100,6200,6200,6300,6400,6400,6500,6600,6600,6700
789596305652,regular_mf,6000,6000,7000,7000,7000,8000,8000,9000,9000,9000,10000,10000
54736913503,scp-mgv,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
492902601864,ncmc_acquirer_ocl,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
58264391305,pml-storefront,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
442447453008,Digital Gold,6000,6000,6000,7000,7000,7000,8000,8000,9000,9000,10000,10000
131752971524,loyalitypoints,5800,6100,6200,6300,6400,6400,6500,6500,6600,6600,6700,6700
New 1,<Place Holder for NOS Account>,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000
477161539263,ticketnewprod (Ram),5000,5000,5000,4000,4000,4000,5000,5000,5000,5000,4000,4000
68930846606,emi-prod_ocl,5000,5000,5000,5000,5000,6000,6000,5000,5000,5000,5000,5000
736384229724,cloudsecurity-logs,4800,4800,4800,4800,4800,4800,4800,4800,5000,5000,5000,5000
654654497161,ppsl-ump-prod,4500,4600,4600,4600,4700,4700,4800,4800,4900,4900,5000,5000
615069360012,merchant-ra-automation,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
339712993293,Insurance-Oauth,4000,5000,6000,6000,6000,6500,7000,7000,7100,7400,7500,7800
127247839315,Sysops AWS,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
718893572916,AaaS-nonprod,3800,3900,3900,4000,4100,4200,4300,4400,4400,4500,4600,4700
625612021127,aoa-nonprod,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
11420223908,PM-DataLake,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
722152247093,central_app_tech_ocl,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
23903256547,central tools,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
97001033170,paytm_smart_retail_ocl,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
66548792077,IOT Core,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
130653941854,insurance-ds,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,4000
116631508635,fastag_non prod_ocl,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
176839215860,aws-omnicard-Prod,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000
678670235450,authoriser,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
290310562512,Wallet-Nonprod,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
821240137883,edc_non prod_ocl,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
992382687474,pml-cst,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
654654145181,pml-oauth-nonprod,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
272968093320,legalapps,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
58264205572,cst-prod,2000,2000,2000,2100,2100,2100,2100,2100,2200,2200,2200,2200
664526282133,Paytm Labs,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
439726107081,risk-verifier-nonprod,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000
541095382258,Card Tokenization,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
841860372390,fastag issuer_prod_ocl,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
824873459626,central_app_tech_mini_apps_ocl,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
264522784930,AWS DNS,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
481935107677,DaaS-Apps,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000
135329050410,CityBus,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000
239937555916,oauthaws.cardservice,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
494799526181,AWS_Paytm'Mloyal,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
159245624542,leadsquared,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
368920154232,central app tech_ocl,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
611670160261,emi-nonprod,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
339712912282,pml-core-poc,1500,1500,1500,0,0,0,0,0,0,0,0,0
658447621694,hrtech_ocl,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500
465354398947,aml-nonprod,1300,1400,1500,1500,1600,1700,1800,1900,2000,2100,2200,2300
736121233725,Paytmmoney Ltd. Data Platform,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
510772292268,cdo-dre,1000,3000,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000
389881277731,merchant-business,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
239666495852,health_ocl,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
745098155683,merchant_automation,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
218943325897,devopscommon,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
548411824430,pocketurmoney,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
453914767997,risk-monitoring,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
423387369363,PML IT,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
590183908249,pml-wiki-jira,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
807119641913,pm-bigdata,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
630307967658,dms-nonprod_ocl,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
769263341944,hotels,400,400,400,400,400,400,400,400,400,400,400,400
576911611801,infra_experiment_non_prod_ocl,300,300,300,400,400,400,400,400,400,400,400,400
320811487590,dev-projects,300,300,300,300,300,300,300,300,300,300,300,300
475919677060,paytm_digital_content_ocl,100,100,100,100,100,100,100,100,100,100,100,100
269350686318,AWS Pan 2,100,100,100,100,100,100,100,100,100,100,100,100
367464822874,One97 IT,100,100,100,100,100,100,100,100,100,100,100,100
65278587813,rooter-io,0,0,0,0,0,0,0,0,0,0,0,0
21891570382,Risk-Lending(new),0,0,0,0,0,0,0,0,0,0,0,0
17820698743,risk-devops-tools,0,0,0,0,0,0,0,0,0,0,0,0
851725259472,ppsl-app-sec,0,0,0,0,0,0,0,0,0,0,0,0
851725259328,ppsl-recon-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
381491835802,uth-prod,0,0,0,0,0,0,0,0,0,0,0,0
975050351452,ppsl-binary-prod,0,0,0,0,0,0,0,0,0,0,0,0
518207312579,cst-ai,0,0,0,0,0,0,0,0,0,0,0,0
654654315008,ondc-analytics,0,0,0,0,0,0,0,0,0,0,0,0
654654394550,oauth-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
302399626617,ROOTER-DEV,0,0,0,0,0,0,0,0,0,0,0,0
370214104985,AMC Platform,0,0,0,0,0,0,0,0,0,0,0,0
608146213544,ppblmaquettepa-prod,0,0,0,0,0,0,0,0,0,0,0,0
471112958605,lending-dwh,0,0,0,0,0,0,0,0,0,0,0,0
15680176265,PPSL Payer,0,0,0,0,0,0,0,0,0,0,0,0
339712759199,feature-store-ocl,0,0,0,0,0,0,0,0,0,0,0,0
582604545400,pm-chat,0,0,0,0,0,0,0,0,0,0,0,0
613255583734,PM-Equities-NonProd,0,0,0,0,0,0,0,0,0,0,0,0
518628324662,rooter-production,0,0,0,0,0,0,0,0,0,0,0,0
620060638816,rooter-development,0,0,0,0,0,0,0,0,0,0,0,0
950209104383,rooter-production-transcoding,0,0,0,0,0,0,0,0,0,0,0,0
New 2,<Place Holder for PSPL Gratification Account>,0,0,0,0,0,0,0,0,0,0,0,0
976617403781,TicketNew Payer,0,0,0,0,0,0,0,0,0,0,0,0
542832536672,Nearbuy Payer,0,0,0,0,0,0,0,0,0,0,0,0
471112938013,tpap-oauth-dr,0,0,0,0,0,0,0,0,0,0,0,0
863780864233,CreditMate Payer,0,0,0,0,0,0,0,0,0,0,0,0
919275210163,ROOTER-CLOUD-MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0
737499001343,call-centre-ivr,0,0,0,0,0,0,0,0,0,0,0,0
161282784430,cdp-ppbl-pa,0,0,0,0,0,0,0,0,0,0,0,0
605458724602,content_ml_ocl,0,0,0,0,0,0,0,0,0,0,0,0
913203018054,ppblpgpa-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
470060591194,edutech,0,0,0,0,0,0,0,0,0,0,0,0
322263815270,PM-EduTech-Prod,0,0,0,0,0,0,0,0,0,0,0,0
505767364771,Risk Anomaly,0,0,0,0,0,0,0,0,0,0,0,0
552801059456,Feed Personalization,0,0,0,0,0,0,0,0,0,0,0,0
477815026673,Rooter Payer,0,0,0,0,0,0,0,0,0,0,0,0
985226307906,Insider Payer,0,0,0,0,0,0,0,0,0,0,0,0
695745283037,ROOTER-CLOUD-LOGS,0,0,0,0,0,0,0,0,0,0,0,0
576349278157,ROOTER-CLOUD-SECURITY,0,0,0,0,0,0,0,0,0,0,0,0
97267615780,hackathon,0,1000,0,0,0,1000,0,0,1000,0,1000,0
253827618117,Payout CA,0,0,0,0,0,0,0,0,0,0,0,0
DROCL,DR - overall (to align with new contract),0,0,0,0,0,0,0,0,0,0,0,0
New 3,Confluent Kafka,0,0,0,0,0,0,0,0,0,0,0,0
567122392682,nlp-data-room-haptik,0,0,0,0,0,0,0,0,0,0,0,0
875620713396,EDC Online Sales,0,0,0,0,0,0,0,0,0,0,0,0
448905424764,AWS Saasforce,0,0,0,0,0,0,0,0,0,0,0,0
971131939842,VFQ-Bahrain,0,0,0,0,0,0,0,0,0,0,0,0
383289569650,merchant-dms,0,0,0,0,0,0,0,0,0,0,0,0
896760538,daas-acquired-apps,0,0,0,0,0,0,0,0,0,0,0,0
271855570343,ROOTER-PROD-CDN,0,0,0,0,0,0,0,0,0,0,0,0
530442861152,DaaS Experiments,0,0,0,0,0,0,0,0,0,0,0,0
854670157863,Digital-Entertainment,0,0,0,0,0,0,0,0,0,0,0,0
9124235587,Payer1,0,0,0,0,0,0,0,0,0,0,0,0
876285361116,PP Golden Race,0,0,0,0,0,0,0,0,0,0,0,0
990686183829,inpg.identity,0,0,0,0,0,0,0,0,0,0,0,0
416485671007,inpg.saas,0,0,0,0,0,0,0,0,0,0,0,0
220554634379,inpg.sandbox,0,0,0,0,0,0,0,0,0,0,0,0
113209881612,inpg.stage,0,0,0,0,0,0,0,0,0,0,0,0
257482651313,International PG,0,0,0,0,0,0,0,0,0,0,0,0
24792762357,pplus2nonprod,0,0,0,0,0,0,0,0,0,0,0,0
81656902703,pplus2prod,0,0,0,0,0,0,0,0,0,0,0,0
121151806688,nongroup-insuranceds,0,0,0,0,0,0,0,0,0,0,0,0
580053151223,ROOTER-PROD-TRANSCODING,0,0,0,0,0,0,0,0,0,0,0,0
388138748053,onboardingengine-ppsl,0,0,0,0,0,0,0,0,0,0,0,0
433726475936,Hero AWS,0,0,0,0,0,0,0,0,0,0,0,0
466739061204,ads-experiments,0,0,0,0,0,0,0,0,0,0,0,0
569146552653,ivr-bhr,0,0,0,0,0,0,0,0,0,0,0,0
973217647660,paytm-chat-sendbird,0,0,0,0,0,0,0,0,0,0,0,0
968583546969,cdp-ppbl-gm,0,0,0,0,0,0,0,0,0,0,0,0
223603485256,ppblpromo-prod,0,0,0,0,0,0,0,0,0,0,0,0
285697138146,ppblriskpa-prod,0,0,0,0,0,0,0,0,0,0,0,0
973103936838,ROOTER-STAGE,0,0,0,0,0,0,0,0,0,0,0,0
755664431334,ocl-wealth-equity,0,0,0,0,0,0,0,0,0,0,0,0
335470755647,lending-abfl,0,0,0,0,0,0,0,0,0,0,0,0
82780300630,lending-hero,0,0,0,0,0,0,0,0,0,0,0,0
516248475246,lending-fullerton,0,0,0,0,0,0,0,0,0,0,0,0
21434688839,ocl-wealth-mf,0,0,0,0,0,0,0,0,0,0,0,0
521026337032,ppblpg2-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
273914427098,digital_transportation,0,0,0,0,0,0,0,0,0,0,0,0
988889888907,postpaid-lender-services,0,0,0,0,0,0,0,0,0,0,0,0
993403631306,mmi-onprem,0,0,0,0,0,0,0,0,0,0,0,0
860971823470,Video KYC,0,0,0,0,0,0,0,0,0,0,0,0
10840421276,ppblump-prod,0,0,0,0,0,0,0,0,0,0,0,0
416222998094,businesslanding,0,0,0,0,0,0,0,0,0,0,0,0
671767570661,ppblpg2-prod,0,0,0,0,0,0,0,0,0,0,0,0
637732598760,lending_ocl,0,0,0,0,0,0,0,0,0,0,0,0
797142548187,ppblpgpa-prod,0,0,0,0,0,0,0,0,0,0,0,0
532041146482,aml-ppsl-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
537598503159,ROOTER-PROD-ANALYTICS,0,0,0,0,0,0,0,0,0,0,0,0
907058949943,ppbloe-prod,0,0,0,0,0,0,0,0,0,0,0,0
576218818919,tools-pa,0,0,0,0,0,0,0,0,0,0,0,0
975049937880,mgc-sclp,0,0,0,0,0,0,0,0,0,0,0,0
123964038738,ROOTER-PROD-APPS,0,0,0,0,0,0,0,0,0,0,0,0
185774682289,pml-chat-dev,0,0,0,0,0,0,0,0,0,0,0,0
661338130494,Zamtel-Zambia,0,0,0,0,0,0,0,0,0,0,0,0
339712810712,tpap-nonprod,0,0,0,0,0,0,0,0,0,0,0,0
975049957371,tpap-dwh,0,0,0,0,0,0,0,0,0,0,0,0
475804058290,Payer9,0,0,0,0,0,0,0,0,0,0,0,0
211125458732,tpap-prod,0,0,0,0,0,0,0,0,0,0,0,0
954976288980,tocom-aisensy,0,0,0,0,0,0,0,0,0,0,0,0
463470958933,New Gold,0,0,0,0,0,0,0,0,0,0,0,0
850995531967,cst-playground,0,0,0,0,0,0,0,0,0,0,0,0
905418240150,905418240150 - Redacted,0,0,0,0,0,0,0,0,0,0,0,0
